ID,NO,AREA,CATEGORY
10591,BF2B007,101,15
10592,BF2B008,101,15
10593,BF2B009,101,15
10594,BF2B010,101,15
10595,BF2B011,101,15
10596,BF2B012,101,15
10603,BF2B019,101,15
10604,BF2B020,101,15
10605,BF2B021,101,15
10606,BF2B022,101,15
10607,BF2B023,101,15
10608,BF2B024,101,15
10615,BF2B031,101,15
10616,BF2B032,101,15
10617,BF2B033,101,15
10618,BF2B034,101,15
10619,BF2B035,101,15
10620,BF2B036,101,15
10627,BF2B043,101,15
10628,BF2B044,101,15
10629,BF2B045,101,15
10630,BF2B046,101,15
10631,BF2B047,101,15
10632,BF2B048,101,15
10639,BF2B055,101,15
10640,BF2B056,101,15
10641,BF2B057,101,15
10642,BF2B058,101,15
10643,BF2B059,101,15
10644,BF2B060,101,15
10651,BF2B067,101,15
10652,BF2B068,101,15
10653,BF2B069,101,15
10654,BF2B070,101,15
10655,BF2B071,101,15
10656,BF2B072,101,15
10663,BF2B079,101,15
10664,BF2B080,101,15
10665,BF2B081,101,15
10666,BF2B082,101,15
10667,BF2B083,101,15
10668,BF2B084,101,15
10676,BF2B092,101,15
10677,BF2B093,101,15
10678,BF2B094,101,15
10679,BF2B095,101,15
10680,BF2B096,101,15
10687,BF2B103,101,15
10688,BF2B104,101,15
10689,BF2B105,101,15
10690,BF2B106,101,15
10691,BF2B107,101,15
10692,BF2B108,101,15
10699,BF2B115,101,15
10700,BF2B116,101,15
10701,BF2B117,101,15
10702,BF2B118,101,15
10703,BF2B119,101,15
10704,BF2B120,101,15
10711,BF2B127,101,15
10712,BF2B128,101,15
10713,BF2B129,101,15
10714,BF2B130,101,15
10715,BF2B131,101,15
10716,BF2B132,101,15
10723,BF2B139,101,15
10724,BF2B140,101,15
10725,BF2B141,101,15
10726,BF2B142,101,15
10727,BF2B143,101,15
10728,BF2B144,101,15
10730,BF2B146,101,15
10732,BF2B148,101,15
10734,BF2B150,101,15
10736,BF2B152,101,15
